250.05
250.05,2024-05-16 19:37:23
250.1,2024-05-16 19:37:25
250.15002,2024-05-16 19:37:27
250.20006,2024-05-16 19:37:28
250.25009,2024-05-16 19:37:30
250.30014,2024-05-16 19:37:32
250.30016,2024-05-16 19:39:14
250.30017,2024-05-16 19:39:15
250.30019,2024-05-16 19:39:17
250.3002,2024-05-16 19:39:22
250.30022,2024-05-16 19:39:24
250.30032,2024-05-16 19:39:30
250.30034,2024-05-16 19:39:33
250.30034,2024-05-16 19:39:43
250.30034,2024-05-16 19:39:46
250.30034,2024-05-16 19:39:48
250.30034,2024-05-16 19:39:49
250.30034,2024-05-16 19:39:51
250.30034,2024-05-16 19:39:52
250.30034,2024-05-16 19:39:54
250.30035,2024-05-16 19:39:55
250.30035,2024-05-16 19:39:58
250.30037,2024-05-16 19:40:00
250.30038,2024-05-16 19:40:02
250.3004,2024-05-16 19:40:04
250.30042,2024-05-16 19:40:05
250.30043,2024-05-16 19:40:07
250.30045,2024-05-16 19:40:09
250.30046,2024-05-16 19:40:11
250.30048,2024-05-16 19:40:12
250.30058,2024-05-16 19:40:17
250.30078,2024-05-16 19:40:27
